"product_id","product_name","profit","profit_margin_rank"
8,"Apple iMac Pro","579598.7399999992","1"
7,"Apple iMac 27-Inch Retina","190402.71000000005","2"
25,"Apple MacBook Pro 16-inch","151874.25000000003","3"
90,"Canon EOS R5 Mirrorless Camera","146717.42999999996","4"
40,"Dell Alienware Aurora R13","140224.29000000007","5"
43,"Dell XPS 17 Laptop","140174.2500000001","6"
193,"Canon EOS R6 Mirrorless Camera","134849.41999999995","7"
26,"Apple MacBook Pro 16-inch (2021)","133249.35","8"
24,"Apple MacBook Pro 14-inch","120959.28000000003","9"
6,"Apple iMac 24-Inch","104388.54000000011","10"
216,"Sony A7R IV Mirrorless Camera","99263.53","11"
51,"Dell Alienware x17 Gaming Laptop","92609.36999999994","12"
242,"Canon RF 70-200mm f/2.8L IS USM Lens","88451.60999999996","13"
248,"Canon RF 85mm f/1.2L USM Lens","87905.57999999997","14"
48,"Dell UltraSharp U4021QW Monitor","87359.51999999999","15"
45,"Dell G5 Gaming Desktop","84359.23999999999","16"
84,"Samsung Galaxy Z Fold 3","82907.51000000001","17"
231,"Sony A7S III Mirrorless Camera","82459.61999999998","18"
71,"Samsung 55-Inch The Frame TV","72899.46","19"
23,"Apple MacBook Pro 13-inch (M1)","71889.3","20"
22,"Apple MacBook Air M2","70069.22999999998","21"
46,"Dell Alienware m15 R6 Gaming Laptop","68798.43000000001","22"
60,"Samsung Odyssey G9","67209.45000000003","23"
19,"Apple iPhone 14 Pro","66419.18","24"
243,"HP Elite Dragonfly Laptop","62999.50000000002","25"
98,"ASUS ROG Strix Scar 15","62559.659999999945","26"
225,"Microsoft Surface Pro X","62559.32000000004","27"
131,"Microsoft Surface Laptop Studio","62039.67000000001","28"
56,"Samsung Galaxy Z Fold 4","61199.500000000015","29"
214,"Canon RF 24-70mm f/2.8L IS USM Lens","60995.60999999997","30"
147,"ASUS TUF Gaming A15","60839.48000000001","31"
85,"Samsung Galaxy S20 Ultra","60719.45000000002","32"
41,"Dell Inspiron 15 3000","60263.27999999998","33"
166,"Panasonic Lumix GH5","59786.37000000003","34"
13,"Apple iPad Pro (11-inch)","59070.960000000036","35"
212,"HP Spectre x360 15","57119.49000000003","36"
111,"Acer Predator Helios 300","56671.54000000003","37"
15,"Apple iPad Pro 12.9-inch (5th Gen)","56099.25000000002","38"
126,"LG Gram 17 Laptop","55844.55000000001","39"
182,"ASUS ROG Flow X13","55694.53000000003","40"
69,"Samsung Galaxy Z Fold 5","55439.44000000003","41"
245,"Sony RX100 VII Compact Camera","55327.44000000004","42"
39,"Dell XPS 13 Laptop","55055.26000000001","43"
52,"Dell XPS 15 Laptop","54611.63000000001","44"
21,"Apple MacBook Air M1","54599.30000000002","45"
80,"Samsung 49-Inch Odyssey G9 Curved Monitor","54430.47000000003","46"
65,"Samsung Galaxy S22 Ultra","54287.48000000003","47"
14,"Apple iPad Pro 12.9-inch (4th Gen)","53719.32000000001","48"
18,"Apple iPhone 14","53279.10000000001","49"
104,"Lenovo ThinkPad X1 Carbon","52289.55000000003","50"
197,"Sony Alpha 7C Mirrorless Camera","51839.550000000025","51"
93,"LG OLED C1 Series 55-Inch TV","51407.580000000016","52"
221,"Canon RF 50mm f/1.2L USM Lens","51059.69999999998","53"
103,"Sony A7 III Mirrorless Camera","50399.580000000016","54"
20,"Apple MacBook Air 2020","50369.31000000003","55"
172,"LG CineBeam HU80KA 4K Laser Projector","49895.58000000002","56"
9,"Apple iPad 10th Gen","49453.430000000066","57"
53,"Dell Alienware m17 R5 Gaming Laptop","49323.56000000002","58"
136,"Sony X90J 55-Inch TV","49087.410000000025","59"
230,"Lenovo Yoga 9i","48789.59000000002","60"
219,"HP Envy 14 Laptop","45863.58000000002","61"
38,"Apple Watch Ultra","45439.20000000005","62"
49,"Dell XPS 13 Plus","45275.510000000024","63"
192,"ASUS ROG Strix G15","44624.650000000016","64"
304,"Sony A7C Mirrorless Camera","44369.71000000001","65"
2,"Apple AirPods Max","44020.62000000006","66"
194,"Microsoft Surface Book 3","43919.55000000002","67"
719,"Paddleboard","43662.95","68"
224,"LG UltraGear 38GN950 Monitor","43406.47000000002","69"
12,"Apple iPad Air (5th Gen)","43199.10000000006","70"
68,"Samsung 55-Inch Q80T QLED TV","42769.53000000002","71"
11,"Apple iPad Air (5th Gen)","42483.14000000003","72"
191,"HP Omen 15 Gaming Laptop","42119.640000000014","73"
73,"Samsung Galaxy Z Flip 5","41399.31000000002","74"
234,"HP Pavilion 27-inch All-in-One","41183.56000000002","75"
207,"Sony ZV-1 Compact Camera","40716.890000000014","76"
59,"Samsung Galaxy Note 20 Ultra","40259.45000000001","77"
44,"Dell S3221QS Curved Monitor","39934.96000000006","78"
132,"ASUS ZenBook 13","39815.58000000002","79"
10,"Apple iPad 9th Gen","39493.03999999994","80"
127,"Acer Nitro 5 Gaming Laptop","39049.50000000002","81"
87,"Samsung Galaxy Note 20","38699.55000000002","82"
17,"Apple iPhone 13 Mini","38219.35000000004","83"
140,"HP ENVY 13 Laptop","36464.49000000001","84"
157,"Sony A6400 Mirrorless Camera","35531.580000000016","85"
54,"Samsung 65-Inch QLED TV","35463.56000000001","86"
97,"HP Spectre x360 14","34631.64000000001","87"
292,"Sony A9 II Mirrorless Camera","34514.869999999995","88"
249,"Lenovo ThinkPad X1 Yoga","34313.57","89"
16,"Apple iPhone 12 Mini","33319.320000000036","90"
4,"Apple AirPods Pro 2nd Gen","32781.09000000007","91"
162,"LG UltraWide 34-Inch Monitor","32535.510000000013","92"
